idx, run1, run2, run3, run4, run5, mean, std dev
1a [N/m2], 1.11e5, 1.12e5, 1.14e5, 1.11e5, 1.11e5, 1.12e5, 0.01e5
1b [N/m2], 1.05e5, 1.06e5, 1.08e5, 1.05e5, 1.05e5, 1.06e5, 0.01e5
2 [s], 15.4e3, 14.7e3, 14.9e3, 15.1e3, 13.7e3, 14.8e3, 0.6e3
3a [kg], 16.3e-5, 27.2e-5, 28.1e-5, 18.9e-5, 25.3e-5, 23.2e-5, 4.7e-5
3b [kg], 0, 0, 0, 0, 0, 0, 0
3c [kg], 320e-5, 307e-5, 313e-5, 313e-5, 298e-5, 310e-5, 7e-5
3d [kg], 37.6e-5, 36.7e-5, 40.4e-5, 38.5e-5, 37.8e-5, 38.2e-5, 1.2e-5
4a [kg], 0, 0, 0, 0, 0, 0, 0
4b [kg], 0, 0, 0, 0, 0, 0, 0
4c [kg], 76.3e-5, 76.0e-5, 71.5e-5, 74.6e-5, 90.5e-5, 77.8e-5, 6.6e-5
4d [kg], 0, 0, 0, 0, 0, 0, 0
5lower [s], 12.2e3, 12.4e3, 12.8e3, 13.3e3, 12.7e3, 12.7e3, 0.4e3
5upper [s], 12.9e3, 14.1e3, 14.9e3, 15.4e3, 17.3e3, 14.9e3, 1.5e3
6 [kg], 54.3e-5, 62.2e-5, 59.1e-5, 55.4e-5, 52.6e-5, 56.7e-5, 3.5e-5
